sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,5,2048,cpu,0,683021f3bc7c62ee26f6d32002e9a9dc94bfbdb8ca7b25ec368acff5b0d3ddcb,1.0220249099998,0.21338402599985784,"[0.0009204059997500735, 0.000923677000173484, 0.0008797279997452279, 0.0008886310001798847, 0.0008958299999903829, 0.0009545550001348602, 0.0008830340002532466]",0.0008958299999903829,0.0008858325002165657,0.0009220414999617788
sobol,normal,5,2048,gpu,1,683021f3bc7c62ee26f6d32002e9a9dc94bfbdb8ca7b25ec368acff5b0d3ddcb,1.0220249099998,0.723941024999931,"[0.00038483100024677697, 0.0004055480003444245, 0.00038399900040531065, 0.000393995000194991, 0.00037679299975934555, 0.00038429100004577776, 0.0003730509997694753]",0.00038429100004577776,0.0003803960000823281,0.000389413000220884
sobol,normal,5,8192,gpu,0,ad69739a60fd2519ff40bcf4bbb7f720bc69b13a8766f1b12de391f7ad5142a2,1.137431115000254,0.7218300290001025,"[0.00046845799988659564, 0.0005075029998806713, 0.0004776509999828704, 0.0004820979997930408, 0.00048271800005750265, 0.00047575300004609744, 0.0005354489999263023]",0.0004820979997930408,0.00047670200001448393,0.000495110499969087
sobol,normal,5,8192,cpu,1,ad69739a60fd2519ff40bcf4bbb7f720bc69b13a8766f1b12de391f7ad5142a2,1.137431115000254,0.2587294929999189,"[0.003220574999886594, 0.0032568030001129955, 0.0033511849997012177, 0.003345807000187051, 0.0031538670000372804, 0.0032932300000538817, 0.0031610559999535326]",0.0032568030001129955,0.0031908154999200633,0.0033195185001204663
sobol,normal,5,32768,cpu,0,30a2dc8d8da3c7651b57c9db7de41a211bf4f045f4de2334031720604d37340b,1.1829389230001652,0.25752212999987023,"[0.012856678999924043, 0.013740889000018797, 0.012836850999974558, 0.013234370999725797, 0.012842563000049267, 0.012738486000216653, 0.01297462299999097]",0.012856678999924043,0.012839707000011913,0.013104496999858384
sobol,normal,5,32768,gpu,1,30a2dc8d8da3c7651b57c9db7de41a211bf4f045f4de2334031720604d37340b,1.1829389230001652,0.7481827050000902,"[0.0005321700000422425, 0.0006204360001902387, 0.0007133029998840357, 0.0006174820000524051, 0.0006047900001249218, 0.0005906069995944563, 0.0005963270000393095]",0.0006047900001249218,0.0005934669998168829,0.0006189590001213219
sobol,normal,5,131072,gpu,0,cd40b4af252f7325a7c0be66c1c521667704725e587af7e94925afc32b279a86,1.19672909000019,0.4626303800000642,"[0.0006913269999131444, 0.0007092289997672196, 0.0007062559998303186, 0.0007257729998855211, 0.0006922070001564862, 0.0007320370000343246, 0.0007360820000030799]",0.0007092289997672196,0.0006992314999934024,0.0007289049999599229
sobol,normal,5,131072,cpu,1,cd40b4af252f7325a7c0be66c1c521667704725e587af7e94925afc32b279a86,1.19672909000019,0.3009160490000795,"[0.06185085400011303, 0.062366479999582225, 0.062429129000065586, 0.0608990470000208, 0.06149035999987973, 0.060290989999884914, 0.05991506700001992]",0.06149035999987973,0.06059501849995286,0.06210866699984763
sobol,normal,10,128,cpu,0,d7f098b845b573e134d1f80d88f1c09bd96c9c8ec7da56b6322504dd3c45d25f,2.0174745840004107,0.2590138239997941,"[0.00012811399983547744, 0.000144936000197049, 0.0001042220001181704, 0.0003538559999469726, 0.0002097740002682258, 0.00010502300028747413, 9.914799966281862e-05]",0.00012811399983547744,0.00010462250020282227,0.0001773550002326374
sobol,normal,10,128,gpu,1,d7f098b845b573e134d1f80d88f1c09bd96c9c8ec7da56b6322504dd3c45d25f,2.0174745840004107,0.46757483400006095,"[0.0002964909999718657, 0.00026700600028561894, 0.00025120200007222593, 0.00024700599988136673, 0.00024475399959555943, 0.00024359999997614068, 0.00024794099999780883]",0.00024794099999780883,0.0002458799997384631,0.00025910400017892243
